invoice_id,invoice_number,external_invoice_ref,customer_id,contract_id,order_id,billing_region_id,issued_by_employee_id,invoice_date,due_date,invoice_status,subtotal_amount,tax_amount,refund_amount,paid_amount,paid_date,currency,payment_terms
1,INV-2023-000001,AR-2023-356154,953,590,11705,10,261,2023-09-03,2023-10-03,Paid,21687.41,1084.37,0.00,22988.65,2023-10-13,USD,Net 45
2,INV-2025-000002,AR-2025-947512,2322,1975,25126,6,35,2025-03-28,2025-04-12,Paid,15245.42,762.27,0.00,16160.14,2025-04-07,CAD,Net 30
3,INV-2023-000003,AR-2023-435415,1739,1813,26371,8,310,2023-06-13,2023-08-12,Paid,1980.94,0.00,0.00,2099.80,2023-08-12,CAD,Net 30
4,INV-2023-000004,AR-2023-104723,375,1825,20353,10,79,2023-10-29,2023-12-28,Overdue,2852.04,199.64,0.00,0.00,,USD,Net 30
5,INV-2024-000005,AR-2024-757462,1988,386,,2,78,2024-03-05,2024-04-04,Paid,22397.71,0.00,0.00,23741.57,2024-05-03,USD,Net 30
6,INV-2024-000006,AR-2024-473015,1984,1353,,5,226,2024-06-03,2024-07-18,Open,5299.36,370.96,0.00,0.00,,USD,Net 60
7,INV-2025-000007,AR-2025-294303,1477,2207,7546,11,213,2025-03-16,2025-04-15,Paid,7219.68,0.00,0.00,7652.86,2025-03-27,CAD,Net 60
8,INV-2025-000008,AR-2025-405182,26,622,5677,10,39,2025-06-27,2025-08-11,Paid,9188.75,459.44,0.00,9740.08,2025-07-08,USD,Net 60
9,INV-2025-000009,AR-2025-523050,1350,2205,22495,10,281,2025-06-23,2025-08-07,Paid,43054.87,0.00,0.00,45638.17,2025-07-15,EUR,Net 30
10,INV-2024-000010,AR-2024-844217,2455,1162,,9,45,2024-06-29,2024-07-29,Paid,47438.43,0.00,0.00,50284.74,2024-08-06,USD,Net 45
11,INV-2024-000011,AR-2024-825845,1990,2705,23962,6,39,2024-05-23,2024-06-07,Open,12783.32,1661.83,0.00,0.00,,CAD,net 30 
12,INV-2025-000012,AR-2025-899001,1545,594,22893,11,81,2025-04-21,2025-06-20,Paid,2423.97,121.20,0.00,2569.40,2025-06-16,USD,Net 60
13,INV-2025-000013,AR-2025-559196,2436,3658,2980,6,140,2025-02-25,2025-03-12,Paid,1044.49,73.11,0.00,1107.15,2025-05-01,USD,Net 60
14,INV-2023-000014,AR-2023-758456,2492,3123,,1,191,2023-01-29,2023-03-15,Open,629.24,81.80,0.00,0.00,,USD,net 30 
15,INV-2023-000015,AR-2023-308400,992,2530,6492,8,290,2023-03-21,2023-04-20,Paid,3427.52,239.93,0.00,3633.18,2023-03-30,USD,Net 45
16,INV-2025-000016,AR-2025-932446,2210,108,1138,9,40,2025-07-13,2025-09-11,Paid,883.32,114.83,0.00,936.32,2025-09-01,USD,Net 60
17,INV-2023-000017,AR-2023-611493,568,3637,1572,4,289,2023-10-27,2023-12-11,Paid,17481.92,874.10,0.00,18530.83,2023-10-30,CAD,Net 15
18,INV-2023-000018,AR-2023-798711,2449,366,4030,7,164,2023-04-24,2023-05-09,Paid,17676.33,0.00,0.00,18736.91,2023-05-11,EUR,Net 45
19,INV-2024-000019,AR-2024-102317,1613,2985,18074,10,113,2024-11-01,2024-12-16,Paid,4661.10,605.94,0.00,4940.76,2024-12-16,USD,Net 30
20,INV-2025-000020,AR-2025-954785,1619,749,17087,3,69,2025-11-11,2025-12-11,Voided,6815.74,340.79,0.00,0.00,,USD,Net 45
21,INV-2025-000021,AR-2025-525872,2069,990,11396,7,93,2025-04-09,2025-04-24,Paid,12828.02,0.00,0.00,13597.70,2025-05-01,USD,Net 45
22,INV-2024-000022,AR-2024-510484,167,2550,25458,5,205,2024-07-14,2024-08-28,Overdue,29047.01,0.00,0.00,0.00,,USD,Net 15
23,INV-2024-000023,AR-2024-470693,1323,683,7404,6,204,2024-09-01,2024-10-16,Paid,2765.39,359.50,0.00,2931.32,2024-10-22,usd,Net 30
24,INV-2023-000024,AR-2023-824043,1444,1685,22345,1,192,2023-07-30,2023-08-29,Overdue,16303.50,1141.24,2801.39,0.00,,USD,net 30 
25,INV-2025-000025,AR-2025-171986,1558,2830,4864,2,58,2025-09-09,2025-10-09,Paid,7290.16,510.31,0.00,7727.57,2025-10-05,usd,Net 60
26,INV-2024-000026,AR-2024-768420,2371,1138,2296,8,152,2024-12-10,2025-01-09,Partially Paid,3753.27,262.73,0.00,3164.73,2025-01-04,EUR,Net 15
27,INV-2025-000027,AR-2025-350437,979,1488,11341,6,83,2025-10-16,2025-11-30,Partially Paid,5.67,0.40,78.87,5.50,2025-11-13,GBP,Net 15
28,INV-2023-000028,AR-2023-833289,1996,2586,5712,6,296,2023-06-06,2023-07-21,Paid,6787.37,339.37,0.00,7194.61,2023-06-16,CAD,net 30 
29,INV-2024-000029,AR-2024-948500,5,1613,19521,6,241,2024-09-09,2024-10-09,Overdue,11187.04,783.09,0.00,0.00,,USD,Net 60
30,INV-2023-000030,AR-2023-969684,1369,704,,9,156,2023-07-28,2023-08-12,Overdue,1884.90,131.94,0.00,0.00,,usd,net 30 
31,INV-2023-000031,AR-2023-220317,1263,3297,17671,5,236,2023-12-15,2023-12-30,Overdue,16229.87,1136.09,1520.82,0.00,,EUR,Net 30
32,INV-2025-000032,AR-2025-341865,1917,3468,13783,3,30,2025-01-20,2025-03-21,Paid,9469.33,0.00,0.00,10037.49,2025-02-08,usd,Net 45
33,INV-2025-000033,AR-2025-355810,1022,330,1836,11,128,2025-05-17,2025-07-01,Paid,15900.93,0.00,0.00,16854.99,2025-07-09,CAD,Net 15
34,INV-2023-000034,AR-2023-253088,368,1473,2718,3,154,2023-07-15,2023-07-30,Open,30070.85,1503.54,0.00,0.00,,USD,net 30 
35,INV-2025-000035,AR-2025-871802,627,773,7939,11,56,2025-10-05,2025-11-04,Open,17097.88,0.00,0.00,0.00,,USD,Net 15
36,INV-2026-000036,AR-2026-604918,1107,2476,20396,11,309,2026-02-17,2026-03-04,Paid,21370.64,0.00,0.00,22652.87,2026-04-24,USD,Net 45
37,INV-2025-000037,AR-2025-374746,2194,2803,13299,10,4,2025-06-07,2025-07-07,Overdue,4217.89,210.89,0.00,0.00,,USD,Net 45
38,INV-2025-000038,AR-2025-263073,1627,328,5371,4,299,2025-07-18,2025-08-17,Paid,9044.27,452.21,0.00,9586.93,2025-08-31,USD,Net 15
39,INV-2023-000039,AR-2023-497269,2311,2451,16342,3,254,2023-01-23,2023-03-09,Open,12355.43,0.00,0.00,0.00,,CAD,net 30 
40,INV-2026-000040,AR-2026-468894,251,182,6247,7,257,2026-06-06,2026-06-21,Paid,5371.98,0.00,0.00,5694.30,2026-07-06,USD,net 30 
41,INV-2023-000041,AR-2023-345310,663,1884,15526,3,261,2023-08-27,2023-09-26,Overdue,8289.87,580.29,0.00,0.00,,USD,Net 30
42,INV-2024-000042,AR-2024-942550,1611,3253,711,4,76,2024-03-01,2024-03-16,Paid,3260.36,423.85,0.00,3455.98,2024-04-23,EUR,net 30 
43,INV-2024-000043,AR-2024-494386,987,1228,19671,3,253,2024-07-29,2024-08-28,paid ,4705.38,0.00,0.00,0.00,2024-09-12,USD,Net 30
44,INV-2024-000044,AR-2024-985932,2319,1679,15450,3,153,2024-06-22,2024-07-07,Paid,16684.22,1167.90,0.00,17685.27,2024-06-27,EUR,Net 15
45,INV-2023-000045,AR-2023-386989,662,3079,13065,5,31,2023-10-17,2023-11-16,Open,15346.48,767.32,0.00,0.00,,EUR,net 30 
46,INV-2025-000046,AR-2025-412886,1892,3219,8274,5,178,2025-01-17,2025-02-01,paid ,38406.19,1920.31,0.00,0.00,2025-01-23,USD,Net 15
47,INV-2023-000047,AR-2023-503949,548,1788,15445,8,78,2023-01-07,2023-01-22,Overdue,25223.27,3279.02,0.00,0.00,,USD,Net 45
48,INV-2024-000048,AR-2024-318863,43,962,17669,1,94,2024-10-21,2024-11-20,Overdue,7465.93,373.30,0.00,0.00,,usd,Net 15
49,INV-2024-000049,AR-2024-173192,1491,2639,7614,7,45,2024-01-14,2024-02-13,paid ,2296.99,0.00,0.00,0.00,2024-02-02,USD,Net 30
50,INV-2024-000050,AR-2024-652489,1568,1492,4925,8,161,2024-11-16,2024-12-16,Paid,2375.84,0.00,0.00,2518.39,2024-12-12,USD,Net 45
51,INV-2023-000051,AR-2023-185121,1074,3068,20228,11,110,2023-04-07,2023-05-22,Paid,4426.11,309.83,0.00,4691.67,2023-05-28,EUR,Net 30
