contract_id,contract_number,customer_id,account_manager_id,contract_tier,contract_status,start_date,end_date_raw,minimum_monthly_commitment,deposit_amount,billing_currency,cancellation_reason
1,CTR-2024-00001,157,68,strategic ,Active,2024-07-19,2025-07-19,25000.00,10000.00,CAD,
2,CTR-2024-00002,1219,22,Standard,Active,2024-08-12,2026-08-12,1000.00,2500.00,GBP,
3,CTR-2025-00003,2210,193,Standard,Active,2025-08-22,2026-08-22,5000.00,2500.00,USD,
4,CTR-2023-00004,25,187,Spot,Active,2023-12-21,2024-12-20,10000.00,0.00,USD,
5,CTR-2024-00005,1659,210,Strategic,active,2024-03-19,2024-09-15,10000.00,2500.00,USD,
6,CTR-2023-00006,1152,231,Spot,Active,2023-04-26,2024-04-25,25000.00,500.00,USD,
7,CTR-2024-00007,2428,20,Strategic,Suspended,2024-03-19,2027-03-19,5000.00,500.00,USD,
8,CTR-2024-00008,1246,69,Standard,Active,2024-05-26,2026-05-26,10000.00,1000.00,EUR,
9,CTR-2023-00009,862,12,strategic ,Expired,2023-07-03,2024-07-02,2500.00,0.00,USD,
10,CTR-2024-00010,402,269,Standard,Active,2024-05-06,2026-05-06,5000.00,500.00,USD,
11,CTR-2025-00011,1891,273,Preferred,Cancelled,2025-09-29,2027-09-29,1000.00,2500.00,usd, 
12,CTR-2024-00012,103,254,Strategic,Cancelled,2024-09-04,2025-09-04,25000.00,5000.00,USD,Moved to competitor
13,CTR-2024-00013,1007,278,Strategic,Active,2024-08-11,2026-08-11,5000.00,0.00,GBP,
14,CTR-2024-00014,637,39,Spot,Active,2024-12-26,2027-12-26,2500.00,5000.00,USD,
15,CTR-2025-00015,2155,7,Strategic,Expired,2025-04-16,2026-04-16,10000.00,1000.00,GBP,
16,CTR-2025-00016,1187,64,strategic ,Active,2025-03-20,2028-03-19,2500.00,0.00,USD,
17,CTR-2025-00017,1612,105,Standard,Active,2025-06-08,08/06/2026,1000.00,5000.00,USD,
18,CTR-2025-00018,2274,234,strategic ,Active,2025-02-08,2026-02-08,10000.00,5000.00,USD,
19,CTR-2024-00019,58,299,Preferred,Active,2024-11-18,2025-11-18,25000.00,5000.00,USD,
20,CTR-2023-00020,1906,243,Standard,Suspended,2023-12-30,2024-06-27,2500.00,500.00,USD,
21,CTR-2024-00021,2197,242,Standard,Cancelled,2024-09-06,2025-09-06,500.00,10000.00,GBP, 
22,CTR-2024-00022,785,152,Spot,Cancelled,2024-04-12,2025-04-12,1000.00,500.00,USD, 
23,CTR-2023-00023,1024,60,Strategic,Active,2023-12-06,2024-06-03,500.00,0.00,USD,
24,CTR-2024-00024,1119,108,Preferred,Expired,2024-02-05,2025-02-04,2500.00,1000.00,USD,
25,CTR-2023-00025,1210,69,strategic ,Cancelled,2023-02-03,2024-02-03,10000.00,2500.00,USD, 
26,CTR-2025-00026,1739,12,Preferred,Expired,2025-07-07,06/07/2028,500.00,10000.00,USD,
27,CTR-2023-00027,2380,146,Spot,Cancelled,2023-08-24,2025-08-23,1000.00,10000.00,EUR,Moved to competitor
28,CTR-2024-00028,1765,7,Spot,Cancelled,2024-08-30,26/02/2025,5000.00,10000.00,USD,Moved to competitor
29,CTR-2024-00029,2145,269,Strategic,Active,2024-10-19,2026-10-19,25000.00,0.00,EUR,
30,CTR-2025-00030,1572,280,Strategic,Cancelled,2025-03-16,2025-09-12,2500.00,5000.00,USD, 
31,CTR-2025-00031,1992,26,Spot,Cancelled,2025-04-24,2026-04-24,5000.00,1000.00,EUR,Price increase
32,CTR-2024-00032,245,22,strategic ,Active,2024-07-11,2025-01-07,2500.00,2500.00,USD,
33,CTR-2023-00033,1045,15,Standard,Active,2023-05-09,2025-05-08,2500.00,10000.00,USD,
34,CTR-2025-00034,1099,149,Strategic,Active,2025-05-20,2026-05-20,5000.00,500.00,usd,
35,CTR-2025-00035,2059,310,Strategic,Active,2025-07-07,2026-01-03,1000.00,10000.00,CAD,
36,CTR-2024-00036,2359,119,Spot,Active,2024-03-11,2025-03-11,2500.00,0.00,USD,
37,CTR-2023-00037,683,193,Strategic,Active,2023-02-08, 2024-02-08 ,25000.00,500.00,usd,
38,CTR-2024-00038,363,57,Preferred,Active,2024-09-10,10/09/2025,25000.00,5000.00,USD,
39,CTR-2024-00039,1050,236,Preferred,Active,2024-01-17, 2025-01-16 ,10000.00,500.00,USD,
40,CTR-2023-00040,1502,39,strategic ,active,2023-12-23,2025-12-22,10000.00,500.00,GBP,
41,CTR-2025-00041,1880,12,Spot,Expired,2025-04-11,2027-04-11,2500.00,5000.00,GBP,
42,CTR-2024-00042,157,299,Spot,Active,2024-06-21,21/06/2026,25000.00,0.00,USD,
43,CTR-2024-00043,1929,193,Spot,Cancelled,2024-11-26,2025-11-26,25000.00,500.00,USD,Unknown
44,CTR-2024-00044,1279,193,Preferred,Active,2024-01-24,2024-07-22,1000.00,2500.00,GBP,
45,CTR-2023-00045,139,26,Spot,Cancelled,2023-01-26,2023-07-25,10000.00,10000.00,USD,Customer consolidation
46,CTR-2023-00046,2047,165,Spot,Active,2023-09-22,2024-09-21,25000.00,1000.00,USD,
47,CTR-2025-00047,243,67,Preferred,Active,2025-09-02,2028-09-01,500.00,0.00,USD,
48,CTR-2025-00048,1725,290,Spot,Active,2025-04-09,2027-04-09,5000.00,10000.00,USD,
49,CTR-2024-00049,386,248,strategic ,Active,2024-05-19,2025-05-19,2500.00,1000.00,usd,
50,CTR-2024-00050,99,290,strategic ,Cancelled,2024-09-09,09/09/2025,10000.00,500.00,USD,Unknown
51,CTR-2025-00051,45,41,strategic ,Expired,2025-01-22,2025-07-21,5000.00,500.00,USD,
52,CTR-2023-00052,1525,7,Spot,active,2023-09-04,2025-09-03,10000.00,0.00,CAD,
53,CTR-2024-00053,1464,266,Preferred,Cancelled,2024-05-16,2026-05-16,5000.00,500.00,USD, 
54,CTR-2023-00054,7,241,Spot,Cancelled,2023-10-04,2025-10-03,5000.00,500.00,EUR,Moved to competitor
55,CTR-2024-00055,1144,240,Standard,Active,2024-06-28,28/06/2027,1000.00,1000.00,GBP,
56,CTR-2023-00056,2041,74,strategic ,Suspended,2023-08-21,2026-08-20,25000.00,2500.00,EUR,
57,CTR-2024-00057,633,191,Preferred,Active,2024-02-13,2/12/2025,25000.00,0.00,USD,
58,CTR-2024-00058,2410,269,Preferred,Expired,2024-01-04,2025-01-03,500.00,10000.00,USD,
59,CTR-2023-00059,1379,106,strategic ,Expired,2023-02-06,2023-08-05,5000.00,500.00,USD,
60,CTR-2024-00060,903,108,Standard,active,2024-01-12,2027-01-11,25000.00,2500.00,USD,
61,CTR-2024-00061,2271,231,Standard,Active,2024-08-12,2026-08-12,2500.00,10000.00,USD,
62,CTR-2023-00062,347,22,Preferred,Active,2023-12-09,08/12/2024,500.00,2500.00,CAD,
63,CTR-2024-00063,279,266,strategic ,Expired,2024-10-25,2025-04-23,1000.00,1000.00,USD,
64,CTR-2024-00064,1163,33,Standard,Active,2024-04-25,2025-04-25,1000.00,1000.00,EUR,
65,CTR-2024-00065,716,310,Preferred,Active,2024-02-12,2025-02-11,10000.00,5000.00,USD,
66,CTR-2023-00066,1497,57,strategic ,Active,2023-09-02,2024-09-01,2500.00,500.00,USD,
67,CTR-2025-00067,1811,20,strategic ,Active,2025-02-06,06/02/2026,1000.00,2500.00,USD,
68,CTR-2024-00068,1791,254,Strategic,Expired,2024-08-30,2/26/2025,5000.00,2500.00,usd,
69,CTR-2023-00069,139,220,strategic ,Active,2023-06-23,2024-06-22,1000.00,10000.00,GBP,
70,CTR-2025-00070,2332,231,Strategic,Active,2025-03-21,2027-03-21,5000.00,500.00,CAD,
71,CTR-2025-00071,1929,121,Spot,Suspended,2025-07-10,2027-07-10,10000.00,2500.00,USD,
72,CTR-2024-00072,2462,226,Strategic,active,2024-06-10,2026-06-10,5000.00,2500.00,USD,
73,CTR-2023-00073,412,20,strategic ,Cancelled,2023-09-05,2026-09-04,25000.00,2500.00,USD,Customer consolidation
74,CTR-2024-00074,1183,19,Strategic,Cancelled,2024-11-11,2027-11-11,10000.00,10000.00,USD, 
75,CTR-2024-00075,685,190,Spot,Expired,2024-05-18,2024-11-14,500.00,1000.00,USD,
76,CTR-2024-00076,936,12,Strategic,Cancelled,2024-06-14,2025-06-14,25000.00,2500.00,USD,Customer consolidation
77,CTR-2023-00077,1618,241,Standard,Active,2023-05-27,2023-11-23,5000.00,5000.00,USD,
78,CTR-2023-00078,2002,193,Spot,Cancelled,2023-02-08,2024-02-08,1000.00,0.00,USD, 
79,CTR-2023-00079,2238,295,Standard,Active,2023-03-05,2025-03-04,10000.00,500.00,EUR,
80,CTR-2023-00080,2021,193,strategic ,Active,2023-09-20,2026-09-19,2500.00,1000.00,USD,
81,CTR-2025-00081,219,210,strategic ,Active,2025-06-20,2028-06-19,2500.00,0.00,USD,
82,CTR-2023-00082,42,156,Strategic,Expired,2023-03-03,2024-03-02,1000.00,500.00,USD,
83,CTR-2025-00083,940,14,strategic ,Active,2025-09-23,2026-09-23,500.00,5000.00,USD,
84,CTR-2025-00084,1606,22,Spot,Active,2025-07-28,2027-07-28,10000.00,0.00,CAD,
85,CTR-2023-00085,1625,165,Preferred,Suspended,2023-12-05,2024-06-02,25000.00,500.00,USD,
86,CTR-2024-00086,2242,218,Strategic,Active,2024-05-08,2026-05-08,5000.00,5000.00,USD,
87,CTR-2023-00087,1616,149,Standard,Cancelled,2023-08-18, 2026-08-17 ,2500.00,500.00,USD,Moved to competitor
88,CTR-2024-00088,1455,243,Strategic,Active,2024-08-15,2025-08-15,5000.00,0.00,USD,
89,CTR-2025-00089,676,94,Preferred,Active,2025-10-08,2028-10-07,2500.00,500.00,USD,
90,CTR-2023-00090,176,51,strategic ,active,2023-01-01,2023-06-30,500.00,10000.00,USD,
91,CTR-2024-00091,1938,191,Strategic,Expired,2024-04-15,2025-04-15,10000.00,10000.00,USD,
92,CTR-2024-00092,1861,179,Spot,Active,2024-08-19,2025-02-15,5000.00,10000.00,USD,
93,CTR-2025-00093,448,39,Strategic,Active,2025-09-25,2026-09-25,10000.00,2500.00,USD,
94,CTR-2023-00094,2011,22,strategic ,active,2023-07-04,2026-07-03,5000.00,1000.00,USD,
95,CTR-2023-00095,2310,236,Standard,Cancelled,2023-07-04,2025-07-03,10000.00,5000.00,USD,Unknown
96,CTR-2023-00096,1615,226,Preferred,Active,2023-03-26,2023-09-22,500.00,5000.00,CAD,
97,CTR-2023-00097,1629,210,Strategic,Suspended,2023-07-30,2024-01-26,5000.00,0.00,USD,
98,CTR-2023-00098,438,156,strategic ,Expired,2023-01-01,2024-12-31,25000.00,5000.00,USD,
99,CTR-2024-00099,2139,68,Strategic,Cancelled,2024-03-23, 2025-03-23 ,25000.00,0.00,USD,Moved to competitor
100,CTR-2024-00100,2085,74,Standard,Active,2024-09-03,2025-09-03,2500.00,500.00,USD,
101,CTR-2024-00101,2217,290,strategic ,Cancelled,2024-05-13,2025-05-13,25000.00,10000.00,USD,Unknown
102,CTR-2025-00102,49,121,strategic ,Expired,2025-04-07,2028-04-06,10000.00,0.00,EUR,
103,CTR-2024-00103,2232,218,strategic ,Cancelled,2024-12-29,2025-12-29,500.00,5000.00,USD,Moved to competitor
104,CTR-2024-00104,1875,22,Strategic,Active,2024-04-28,2026-04-28,500.00,500.00,USD,
105,CTR-2024-00105,433,234,Strategic,Active,2024-12-27,2026-12-27,5000.00,0.00,EUR,
106,CTR-2024-00106,913,240,Strategic,Active,2024-06-27,2026-06-27,2500.00,500.00,USD,
107,CTR-2024-00107,438,201,strategic ,Expired,2024-06-28,2026-06-28,10000.00,5000.00,EUR,
108,CTR-2024-00108,2210,254,strategic ,Cancelled,2024-01-14,2025-01-13,25000.00,0.00,USD,Unknown
109,CTR-2025-00109,980,210,strategic ,Active,2025-03-21,2026/03/21,25000.00,0.00,USD,
110,CTR-2025-00110,1064,252,Spot,Suspended,2025-03-25,2027-03-25,25000.00,1000.00,USD,
