supplier_id,supplier_code,supplier_name,supplier_type,home_region_id,contact_email,contact_phone,onboarded_on,supplier_status,standard_lead_days,quality_rating
1,SUP-0001,mosaic systems,Linehaul Carrier,1,ops1@supplier.example,670-959-1477,2024-06-24,Active,15,2.58
2,SUP-0002,Pioneer Services,Repair Parts,5,ops2@supplier.example,487-232-3197,2025-03-12,Active,8,
3,SUP-0003,Cobalt Transit,Linehaul Carrier,7,ops3@supplier.example,627-977-5932,2024-10-26,Active,16,3.56
4,SUP-0004,Oakmont Materials,Repair Parts,7,ops4@supplier.example,511-640-6769,2025-05-17,Inactive,11,4.84
5,SUP-0005,Meridian Industrial,Sanitation Chemicals,9,,329-462-9305,2023-03-10,Active,21,3.91
6,SUP-0006, Mosaic Materials,Sanitation Chemicals,5,ops6@supplier.example,543.214.9303,2023-04-03,Active,8,2.64
7,SUP-0007,Northwind Industrial,Repair Parts,5,ops7@supplier.example,899-563-4226,2024-08-12,Active,9,2.51
8,SUP-0008,Solace Systems,Sanitation Chemicals,6,ops8@supplier.example,548-523-3503,2025-05-26,Active,17,3.97
9,SUP-0009,Helix Materials,Local Carrier,2,ops9@supplier.example,735-724-6537,2023-03-17,Active,16,4.80
10,SUP-0010,Northwind Services,Linehaul Carrier,11,ops10@supplier.example,242-921-7484,2024-10-14,Inactive,8,3.47
11,SUP-0011,Aster Services,Sanitation Chemicals,1,,586-859-8063,2023-01-07,Active,19,3.59
12,SUP-0012,Cardinal Systems,Local Carrier,8,ops12@supplier.example,385-724-7083,2023-01-18,Conditional,10,4.30
13,SUP-0013,Riverbend Transit,Crate Fabricator,11,ops13@supplier.example,750-232-1712,2023-04-28,Active,8,2.61
14,SUP-0014,Granite Works,Sanitation Chemicals,11,ops14@supplier.example,814-524-9862,2024-07-16,Active,5,2.48
15,SUP-0015,Crescent Materials,RFID Components,10,ops15@supplier.example,525-310-6997,2025-06-18,Active,5,2.61
16,SUP-0016,Brightwell Materials,Crate Fabricator,8,ops16@supplier.example,689-699-3915,2023-03-22,Active,7,3.36
17,SUP-0017,briar services,Crate Fabricator,3,ops17@supplier.example,534-370-7352,2023-10-26,Active,19,2.59
