customer_id,customer_code,legal_name,trading_name,customer_segment,industry,home_region_id,account_manager_id,primary_email,primary_phone,lifecycle_status,registered_on,credit_limit,tax_id,record_source
1,CUS-000001,Cardinal Seafood Distribution,Cardinal Seafood Distribution,Mid-Market,Cold-Chain Pharma,5,249,hugo@cardinalseafooddis.example,296-472-6681,active,2024-02-14,25000.00,10-9963341,CRM
2,CUS-000002,Keystone Pet Nutrition Foods,Keystone Pet Nutrition Foods,enterprise ,Clinical Logistics,4,242,fatima@keystonepetnutriti.example,536-834-1248,At Risk,2025-02-25,75000.00,64-2041719,Legacy CRM
3,CUS-000003,Helix Ingredients Foods,Helix Ingredients Foods,Regional,Food Distribution,7,165,mateo@helixingredientsfo.example,228-328-8805,Active,2023-05-28,500000.00,85-9387296,Legacy CRM
4,CUS-000004,Ardent Laboratories Distribution ,Ardent Laboratories Distribution,Startup,Clinical Logistics,4,257,nina@ardentlaboratories.example,852-267-9817,Active,2024-09-21,250000.00,53-5825780,CRM
5,CUS-000005,Ardent Laboratories Supply,Ardent Laboratories Supply,Startup,Food Distribution,6,290,lena@ardentlaboratories.example,451-820-4419,Inactive,2025-03-16,250000.00,95-7028504,CRM
6,CUS-000006,Helix Seafood Labs,Helix Seafood Labs,Mid-Market,Cold-Chain Pharma,5,183,fatima@helixseafoodlabs.example,222-396-8533,Active,2024-10-03,50000.00,00-0000000,CRM
7,CUS-000007,Meridian Cold Foods Foods,Meridian Cold Foods Foods,Mid-Market,Food Distribution,4,51,talia@meridiancoldfoodsf.example,252-539-8495,Inactive,2024-11-30,50000.00,29-9017859,CRM
8,CUS-000008,Orchard Specialty Produce Distribution,Orchard Specialty Produce Dist.,Enterprise,Specialty Grocery,11,41,mateo@orchardspecialtypr.example,721-911-5485,Active,2024-07-04,25000.00,80-8377105,Legacy CRM
9,CUS-000009,Lakeside Foods Labs,Lakeside Foods Labs,Enterprise,Cold-Chain Pharma,10,174,avery@lakesidefoodslabs.example,340-805-9940,Prospect,2025-07-02,50000.00,79-6913666,CRM
10,CUS-000010,Crown Seafood Co-op,Crown Seafood Co-op,Enterprise,Cold-Chain Pharma,7,82,caleb@crownseafoodcoop.example,536-804-3294,Inactive,2023-09-05,25000.00,11-5491208,Manual Entry
11,CUS-000011,Aster Biologics Holdings,Aster Biologics Holdings,Startup,Specialty Grocery,1,296,rafael@asterbiologicshold.example,560-299-7057,Active,2023-07-01,25000.00,26-6121791,CRM
12,CUS-000012,Brightwell Beverage Foods,Brightwell Beverage Foods,Enterprise,Meal Kit Producer,8,51,noah@brightwellbeverage.example,245-585-4917,Active,2023-02-12,250000.00,81-6172435,CRM
13,CUS-000013,Westline Dairy Holdings,Westline Dairy Holdings,enterprise ,Specialty Grocery,2,39,keiko@westlinedairyholdi.example,601-440-2668,Active,2024-08-01,150000.00,15-7760553,CRM
14,CUS-000014,Pioneer Foods Manufacturing,Pioneer Foods Manufacturing,Startup,Beverage Distribution,10,295,fatima@pioneerfoodsmanufa.example,397-867-8945,At Risk,2023-10-21,75000.00,49-7832913,CRM
15,CUS-000015,Ardent Pet Nutrition Supply,Ardent Pet Nutrition Supply,enterprise ,Cold-Chain Pharma,8,239,rina@ardentpetnutrition.example,946-646-1575,Active,2023-05-27,150000.00,92-3171358,Legacy CRM
16,CUS-000016,Mosaic Pharma Holdings,Mosaic Pharma Holdings,Mid-Market,Cold-Chain Pharma,3,258,zara@mosaicpharmaholdin.example,405-947-4678,Active,2023-11-21,100000.00,72-7160539,CRM
17,CUS-000017,Orchard Ingredients Co-op,Orchard Ingredients Co-op,Startup,Meal Kit Producer,11,190,,959-399-1495,Active,2023-10-15,50000.00,46-2890954,Manual Entry
18,CUS-000018,Everfield Floral Logistics Distribution,Everfiled Floral Logistics Distribution,Regional,Beverage Distribution,4,179,zara@everfieldflorallog.example,545.745.6820,Active,2025-11-06,100000.00,51-6866398,CRM
19,CUS-000019,Solace Seafood Logistics,Solace Seafood Logistics,Regional,Meal Kit Producer,4,19,caleb@solaceseafoodlogis.example,438-667-9390,At Risk,2024-01-01,100000.00,28-1652492,CRM
20,CUS-000020,forge dairy logistics,Forge Dairy Logistics,enterprise ,Cold-Chain Pharma,11,68,ben@forgedairylogistic.example,447-544-5110,Active,2024-02-20,25000.00,56-3352334,CRM
21,CUS-000021,Vantage Biologics Manufacturing,Vantage Biologics Mfg,enterprise ,Food Distribution,9,192,lena@vantagebiologicsma.example,248-781-1127,At Risk,2024-12-02,150000.00,96-6268273,Manual Entry
