service_log_id,shipment_id,crate_model_id,service_region_id,technician_employee_id,service_date,service_type,expected_units,inspected_units,passed_units,scrapped_units,service_cost,inspection_notes
1,21736,100,5,88,2025-04-28,Wash & Inspect,6,6,6,0,53.83,RFID unreadable
2,2163,85,3,227,2023-02-11,Repair,8,8,8,0,83.23,
3,7885,28,4,170,2025-05-07,Repair,20,20,19,0,61.55,
4,13841,111,4,27,2023-01-19,Cycle Count,40,40,40,0,61.80,
5,17536,73,4,274,2023-02-19,Wash & Inspect,12,12,9,3,160.81,awaiting QA
6,11055,33,3,86,2026-04-06,Cycle Count,40,40,40,0,94.55,
7,9753,99,9,54,2025-08-02,Cycle Count,8,8,8,0,72.63,
8,25287,85,3,232,2025-03-05,Decommission,16,16,10,5,158.65,awaiting QA
9,9312,72,5,98,2026-01-30,Wash & Inspect,32,32,32,0,16.69,Seal wear
10,14536,22,4,6,2025-07-14,Repair,32,32,32,0,8.73,Seal wear
11,19208,43,10,6,2025-02-06,Cycle Count,6,4,4,0,69.37, 
12,4405,50,8,217,2023-12-24,Wash & Inspect,8,7,4,3,169.56,RFID unreadable
13,3369,55,4,54,2024-06-12,Cycle Count,16,16,16,0,8.47,awaiting QA
14,377,48,3,100,2025-04-10,wash & inspect,4,4,4,0,74.78,Seal wear
15,2263,83,1,27,2025-10-15,wash & inspect,20,28,28,0,81.10,Odor detected
16,14398,109,5,88,2024-07-19,Wash & Inspect,60,60,57,3,99.42,Count adjusted by hub
17,21177,95,9,86,2025-11-21,Wash & Inspect,60,64,64,0,35.09, 
18,26725,30,2,100,2026-01-10,Repair,80,81,81,0,95.33,
19,20979,112,5,100,2025-09-27,Cycle Count,4,4,4,0,31.15,awaiting QA
20,2675,73,2,53,2026-02-02,Repair,10,10,8,2,58.18,RFID unreadable
21,18847,41,5,283,2026-05-25,Decommission,60,60,60,0,89.57,
22,12469,72,5,88,2023-02-09,Wash & Inspect,4,4,4,0,34.58,Count adjusted by hub
23,24004,113,11,100,2024-04-29,Wash & Inspect,20,20,16,3,83.29,awaiting QA
24,15652,20,9,157,2025-06-13,Wash & Inspect,4,4,4,0,34.41,
25,8138,65,8,53,2023-11-07,Wash & Inspect,80,80,80,0,14.92,awaiting QA
26,26684,118,7,286,2023-05-31,Wash & Inspect,12,12,12,0,10.46,awaiting QA
