order_id,order_number,customer_id,contract_id,delivery_address_id,fulfillment_region_id,created_by_employee_id,order_date,requested_delivery_date_raw,order_status,priority_level,customer_po_number,cancellation_reason,order_channel
1,ORD-2025-000001,1237,1417,2610,3,221,2025-06-05,2025-06-18,Delivered,Standard,PO-646131,,Manual Upload
2,ORD-2024-000002,1629,2490,3427,11,275,2024-05-12,2024-05-14,Open,Standard,PO-676936,,EDI
3,ORD-2023-000003,776,2587,1617,9,298,2023-06-16,2023-06-28,Delivered,Expedite,PO-400210,,Account Team
4,ORD-2025-000004,1443,369,3041,3,200,2025-03-28,2025-03-30,Open,Standard,,,Manual Upload
5,ORD-2025-000005,417,1627,893,11,66,2025-02-13,2025-02-15,Delivered,Standard,PO-962502,,Portal
6,ORD-2023-000006,1552,3160,3274,7,305,2023-09-23,2023-10-03,Delivered,Expedite,PO-945872,,Account Team
7,ORD-2025-000007,1410,1373,2977,9,158,2025-04-02,2025-04-06,Delivered,Expedite,PO-170337,,Manual Upload
8,ORD-2024-000008,1152,6,2430,10,298,2024-07-18,2024-07-20,Delivered,Expedite,PO-652350,,Manual Upload
9,ORD-2024-000009,1397,2289,2948,7,77,2024-04-28,5/11/2024,Delivered,Standard,,,EDI
10,ORD-2023-000010,2239,139,4729,7,200,2023-08-25,2023-09-01,Cancelled,Standard,PO-726297,,Portal
11,ORD-2023-000011,1649,3574,3475,10,302,2023-04-04,2023-04-13,Delivered,Standard,PO-866677,,Manual Upload
12,ORD-2023-000012,1495,3405,3155,10,302,2023-05-03,2023-05-06,Delivered,Expedite,PO-194759,,Portal
13,ORD-2025-000013,610,429,1295,9,286,2025-02-19,2025-02-23,Delivered,Standard,,,Manual Upload
14,ORD-2025-000014,1688,2156,3559,6,200,2025-12-15,2025-12-24,In Transit,Standard,,,Manual Upload
15,ORD-2024-000015,891,3097,1874,1,116,2024-10-31,2024-11-08,Delivered,Standard,PO-322278,,Portal
16,ORD-2023-000016,1143,3116,2412,5,77,2023-06-11,2023-06-17,Returned,Standard,PO-482891,,EDI
17,ORD-2025-000017,777,893,1618,2,237,2025-08-12,2025-08-16,In Transit,Expedite,PO-889040,,EDI
18,ORD-2023-000018,2112,2756,4441,10,80,2023-03-22,27/03/2023,Delivered,Standard,PO-786095,,Portal
19,ORD-2025-000019,782,1367,1628,7,277,2025-01-30,2025-02-14,Delivered,Critical,PO-322835,,EDI
20,ORD-2026-000020,749,1352,1566,6,86,2026-01-06,2026-01-14,In Transit,Standard,PO-589120,,Manual Upload
21,ORD-2024-000021,2294,211,4848,6,302,2024-06-09,24/06/2024,In Transit,Standard,PO-824212,,Account Team
22,ORD-2023-000022,1911,524,4024,4,141,2023-11-25,2023-11-27,Delivered,Standard,PO-225353,,Manual Upload
23,ORD-2025-000023,1282,2229,2704,2,18,2025-12-10,12/20/2025,Open,Standard,PO-422783,,Manual Upload
24,ORD-2025-000024,1027,551,2164,3,217,2025-04-25,2025-05-11,Open,Standard,pending,,Account Team
25,ORD-2025-000025,1033,957,2176,4,86,2025-02-16,2025-02-19,Delivered,Standard,PO-352798,,Account Team
26,ORD-2024-000026,995,2258,2100,5,124,2024-06-07,6/15/2024,In Transit,Standard,PO-318768,,Manual Upload
27,ORD-2025-000027,2376,1216,5028,11,2,2025-10-05,2025-10-18,Delivered,Standard,PO-798297,,Portal
28,ORD-2024-000028,293,2543,638,6,304,2024-06-05,2024-06-11,Delivered,Standard,PO-732508,,Portal
29,ORD-2023-000029,324,670,698,2,150,2023-01-19,2023-01-25,In Transit,Standard,PO-251929,,EDI
30,ORD-2023-000030,2114,2869,4445,10,53,2023-02-15,2023-02-17,Delivered,Expedite,PO-705232,,Portal
31,ORD-2025-000031,1937,612,4079,2,188,2025-10-02,2025-10-07,Delivered,Standard,PO-558643,,EDI
32,ORD-2024-000032,2129,1676,4471,10,275,2024-02-22,2024-03-06,Delivered,Standard,,,Portal
33,ORD-2024-000033,1588,2811,3342,9,232,2024-01-10,2024-01-19,Delivered,Standard,PO-182720,,Manual Upload
34,ORD-2023-000034,559,1440,1191,2,53,2023-02-03,13/02/2023,Delivered,Expedite,PO-960816,,Portal
35,ORD-2023-000035,45,51,99,4,27,2023-08-22,2023-09-02,In Transit,Expedite,PO-954940,,EDI
36,ORD-2025-000036,1105,2167,2323,10,227,2025-12-19,2026-01-01,Open,Standard,PO-786575,,EDI
37,ORD-2023-000037,467,1617,990,8,186,2023-05-02,2023-05-06,Delivered,Expedite,PO-253223,,Portal
38,ORD-2023-000038,70,1575,155,9,34,2023-05-30,2023-06-12,Delivered,Standard,PO-350773,,Account Team
39,ORD-2023-000039,1635,2113,3441,11,232,2023-04-05,2023-04-16,Open,Standard,PO-588526,,Portal
40,ORD-2025-000040,885,2709,1859,1,101,2025-06-11,2025-06-14,Open,standard ,PO-455703,,Portal
41,ORD-2023-000041,482,2777,1021,1,141,2023-06-11,2023-06-27,Delivered,Critical,PO-276175,,Account Team
42,ORD-2024-000042,1179,3336,2475,7,237,2024-05-05,2024-05-11,Open,Expedite,,,Account Team
43,ORD-2025-000043,1398,1651,2949,6,2,2025-05-19,2025-05-30,Cancelled,Standard,PO-795660,,Account Team
44,ORD-2024-000044,278,3582,606,7,111,2024-11-09,11/24/2024,Delivered,Expedite,,,Manual Upload
45,ORD-2023-000045,2071,2689,4360,4,298,2023-10-27,2023-10-31,delivered ,Standard,,,Account Team
46,ORD-2026-000046,1462,2989,3085,10,18,2026-02-20,04/03/2026,Open,standard ,PO-185996,,Manual Upload
47,ORD-2026-000047,1919,3394,4041,4,132,2026-06-30,2026-07-10,Open,Critical,PO-745530,,Portal
48,ORD-2025-000048,830,167,1733,2,2,2025-05-27,2025-06-12,Delivered,Standard,PO-891273,,Account Team
49,ORD-2023-000049,190,1964,408,11,271,2023-02-27,2023-03-02,Delivered,Standard,,,Account Team
50,ORD-2023-000050,481,1055,1020,8,138,2023-10-02,2023-10-11,Delivered,Standard,PO-364234,,Manual Upload
51,ORD-2025-000051,384,298,825,4,27,2025-10-14,2025-10-24,In Transit,Standard,PO-402947,,Account Team
52,ORD-2024-000052,2454,3443,5204,2,85,2024-06-13,2024-06-15,Delivered,Expedite,PO-788774,,Portal
53,ORD-2024-000053,1492,1921,3149,4,59,2024-03-29,2024-04-02,Open,Standard,,,EDI
54,ORD-2024-000054,1746,2386,3695,1,65,2024-03-18,2024-04-03,Delivered,standard ,PO-461079,,Manual Upload
55,ORD-2025-000055,937,1768,1967,6,141,2025-07-09, 2025-07-14 ,Delivered,Standard,PO-196668,,EDI
56,ORD-2023-000056,2118,2760,4450,4,300,2023-07-06,2023-07-09,Delivered,Standard,PO-498911,,Portal
57,ORD-2024-000057,2062,298,4344,3,284,2024-12-06,12/18/2024,delivered ,Standard,PO-787197,,Account Team
58,ORD-2023-000058,1826,2881,3857,1,54,2023-01-06,2023-01-20,Delivered,Standard,PO-905924,,EDI
59,ORD-2025-000059,216,101,468,1,302,2025-06-28,2025-06-30,Delivered,Critical,PO-196557,,Account Team
60,ORD-2025-000060,4,754,8,4,43,2025-03-23,2025-03-29,Open,Expedite,PO-908953,,Portal
61,ORD-2025-000061,340,2697,732,10,217,2025-05-20,2025-06-02,Open,Standard,PO-839058,,Account Team
62,ORD-2025-000062,965,2122,2031,2,150,2025-10-31,2025-11-09,delivered ,Standard,PO-525389,,EDI
63,ORD-2024-000063,1360,1531,2867,4,92,2024-03-21,2024-04-02,Delivered,standard ,PO-341687,,EDI
64,ORD-2025-000064,862,9,1799,10,92,2025-04-04,2025-04-13,Delivered,Standard,PO-327136,,Manual Upload
65,ORD-2023-000065,1807,217,3807,2,277,2023-07-10,2023-07-25,Open,Standard,PO-261635,,Account Team
66,ORD-2024-000066,186,659,395,5,176,2024-07-12,2024-07-20,Delivered,standard ,,,Account Team
67,ORD-2024-000067,272,201,593,4,9,2024-03-19,2024-04-02,Delivered,Standard,PO-970459,,Account Team
