crate_model_id,sku,model_name,crate_category,temperature_band,material,capacity_liters,base_daily_rental_rate,replacement_cost,primary_supplier_id,active_flag,introduced_on
1,RLP-PRO-001,Tundra 90L Series B,Produce Crate,2–8 C,EPP Foam,90,13.32,388.95,3,True,2023-09-22
2,RLP-VAC-002,Arctic 35L Plus,Vaccine Carrier,2-8C,Recycled PP,35,6.80,214.89,69,False,2024-03-01
3,RLP-PRO-003,Nexus 35L Series B,Produce  Crate,Ambient,Aluminum Composite,35,11.32,606.00,10,True,2024-02-05
4,RLP-INS-004,Nexus 450L Plus,Insulated Tote,Frozen,Aluminum Composite,450,5.74,343.56,28,True,2023-08-01
5,RLP-PRO-005,Nexus 240L Plus,Produce Crate,-20C,HDPE,240,0.98,53.20,15,True,2023-06-21
6,RLP-VAC-006,Cirrus 35L Series A,Vaccine Carrier,Ambient,Aluminum Composite,35,8.01,494.26,86,True,2023-02-23
7,RLP-PRO-007,Mistral 90L Plus,Produce  Crate,2–8 C,EPP Foam,90,8.94,601.55,21,True,2025-05-12
8,RLP-VAC-008,Nexus 680L Series B,Vaccine Carrier,Ambient,EPP Foam,680,1.69,76.42,72,True,2023-02-19
9,RLP-PAL-009,Cirrus 20L Plus,Pallet Shipper,Ambient,EPP Foam,20,3.44,166.71,43,True,2024-08-04
10,RLP-PRO-010,Mistral 240L Pro,Produce Crate,-20C,Recycled PP,240,15.39,864.85,42,True,2023-03-18
11,RLP-VAC-011,Mistral 450L Pro,Vaccine Carrier,Frozen,Recycled PP,450,4.45,155.21,16,True,2024-08-25
12,RLP-PRO-012,Arctic 35L Plus,Produce Crate,Ambient,Aluminum Composite,35,0.82,33.44,14,True,2025-03-27
13,RLP-VAC-013,Arctic 65L Pro,Vaccine Carrier,2–8 C,HDPE,65,5.54,311.74,6,True,2023-08-31
14,RLP-RET-014,Tundra 680L Pro,Returnable Divider,2-8C,Recycled PP,680,7.42,434.01,91,True,2024-05-02
15,RLP-VAC-015,Arctic 50L Series A,Vaccine Carrier,-20C,Aluminum Composite,50,6.53,296.31,19,True,2025-02-22
16,RLP-RET-016,Cirrus 450L Series B,Returnable Divider,Controlled Room,Aluminum Composite,450,5.24,179.51,82,True,2025-06-08
17,RLP-PRO-017,Mistral 20L Series A,Produce Crate,2–8 C,Recycled PP,20,13.21,543.57,27,True,2023-05-28
18,RLP-PAL-018,Nexus 120L Series A,Pallet Shipper,Controlled Room,Aluminum Composite,120,6.90,249.00,27,True,2024-07-11
19,RLP-PRO-019,Mistral 680L Series A,Produce Crate,-20C,HDPE,680,10.22,505.87,41,True,2024-08-27
20,RLP-INS-020,Cobalt 20L Plus,Insulated Tote,Ambient,EPP Foam,20,5.96,422.61,91,True,2023-10-13
21,RLP-PAL-021,Cirrus 50L Series A,pallet shipper,-20C,HDPE,50,10.95,629.88,91,True,2023-08-02
22,RLP-RET-022,Cobalt 680L Series A,Returnable Divider,Controlled Room,Aluminum Composite,680,4.67,213.07,85,True,2025-02-28
23,RLP-INS-023,Cobalt 450L Plus,Insulated Tote,Ambient,Recycled PP,450,14.12,783.19,68,True,2024-10-28
24,RLP-PRO-024,Nexus 65L Pro,Produce Crate,-20C,EPP Foam,65,2.69,165.77,2,True,2024-09-27
25,RLP-PRO-025,Cirrus 240L Series B,Produce Crate,Ambient,HDPE,240,2.94,113.98,3,True,2023-01-16
26,RLP-PAL-026,Mistral 90L Series B,pallet shipper,Frozen,HDPE,90,12.52,905.21,14,True,2024-04-11
27,RLP-PRO-027,Tundra 120L Plus,Produce Crate,Ambient,HDPE,120,7.47,232.38,63,True,2024-12-15
28,RLP-INS-028,Mistral 20L Plus,Insulated Tote,2–8 C,Aluminum Composite,20,2.38,113.81,86,True,2024-12-03
29,RLP-INS-029,Nexus 680L Pro,Insulated Tote,2–8 C,Recycled PP,680,5.62,172.69,20,True,2025-06-19
30,RLP-VAC-030,Cirrus 50L Series A,Vaccine Carrier,2–8 C,Aluminum Composite,50,14.67,962.64,47,True,2024-10-28
31,RLP-PAL-031,Mistral 450L Pro,pallet shipper,2-8C,Recycled PP,450,6.38,456.55,73,False,2023-06-03
32,RLP-RET-032,Arctic 680L Plus,Returnable Divider,-20C,Recycled PP,680,1.35,79.46,2,True,2023-08-09
33,RLP-RET-033,Cirrus 35L Plus,Returnable Divider,Ambient,HDPE,35,4.84,167.00,15,True,2023-08-09
34,RLP-INS-034,Tundra 240L Series A,Insulated Tote,2-8C,HDPE,240,7.84,291.03,60,True,2023-07-24
35,RLP-INS-035,Mistral 680L Series B,Insulated Tote,Controlled Room,Aluminum Composite,680,5.11,298.71,29,True,2024-10-20
36,RLP-INS-036,Nexus 65L Series A,Insulated Tote,2-8C,Recycled PP,65,2.40,76.91,74,True,2023-09-18
37,RLP-RET-037,Cirrus 35L Series B,Returnable Divider,2–8 C,Aluminum Composite,35,9.92,669.95,70,True,2023-09-06
38,RLP-INS-038,Arctic 65L Plus,Insulated Tote,Frozen,Recycled PP,65,1.97,131.47,8,True,2023-12-25
39,RLP-PRO-039,Tundra 120L Series A,Produce Crate,Controlled Room,EPP Foam,120,14.99,391.55,46,True,2025-04-18
40,RLP-INS-040,Cirrus 120L Series A,Insulated Tote,-20C,Aluminum Composite,120,14.08,632.84,38,True,2025-02-03
41,RLP-RET-041,Cirrus 65L Plus,Returnable Divider,Frozen,Aluminum Composite,65,5.25,339.92,63,True,2023-07-22
42,RLP-PAL-042,Mistral 50L Pro,Pallet Shipper,Ambient,Aluminum Composite,50,4.17,209.31,41,True,2023-10-17
43,RLP-PAL-043,Mistral 120L Plus,Pallet Shipper,-20C,EPP Foam,120,6.85,452.20,57,True,2025-02-26
44,RLP-INS-044,Arctic 680L Plus,Insulated Tote,Frozen,EPP Foam,680,11.79,782.83,24,True,2023-10-09
45,RLP-VAC-045,Cirrus 35L Series A,Vaccine Carrier,Ambient,Aluminum Composite,35,15.08,1023.12,82,True,2025-04-30
46,RLP-VAC-046,Nexus 90L Series B,Vaccine Carrier,Controlled Room,HDPE,90,10.47,406.76,73,False,2024-11-15
47,RLP-INS-047,Cobalt 240L Series A,Insulated Tote,-20C,EPP Foam,240,11.70,710.63,75,True,2023-07-22
