shipment_id,shipment_number,order_id,carrier_supplier_id,origin_region_id,destination_region_id,coordinator_employee_id,shipment_status,dispatch_date,scheduled_arrival_date,actual_arrival_date,tracking_reference,freight_cost,damage_units,temperature_excursion_flag
1,SHP-2025-0000001,1,3,3,3,87,Delivered,2025-06-06,2025-06-11,2025-06-12,TRK-80467541,201.47,0,False
2,SHP-2024-0000002,2,62,11,7,232,"('In Transit', None)",2024-05-13,2024-05-17,,RLX-89404075,1022.45,0,False
3,SHP-2023-0000003,3,91,9,9,124,Delivered,2023-06-19,2023-06-20,2023-06-22,COLD-32455031,366.43,0,True
4,SHP-2025-0000004,4,40,3,3,43,"('In Transit', None)",2025-03-30,2025-04-08,,FRT-42872888,385.28,0,False
5,SHP-2025-0000005,5,55,11,11,17,Delivered,2025-02-16,2025-02-24,2025-03-04,TRK-45932492,1728.12,0,False
6,SHP-2023-0000006,6,35,7,7,141,Delivered,2023-09-24,2023-09-27,2023-09-29,RLX-32520515,467.00,0,True
7,SHP-2025-0000007,7,68,9,8,18,Delivered,2025-04-04,2025-04-09,2025-04-08,COLD-31144153,549.09,0,False
8,SHP-2025-0000008,7,55,9,9,34,Delivered,2025-04-04,2025-04-09,2025-04-08,FRT-92978401,384.84,0,False
9,SHP-2024-0000009,8,71,10,11,80,Delivered,2024-07-20,2024-07-27,2024-08-07,FRT-35631255,1455.25,0,False
10,SHP-2024-0000010,9,55,7,1,271,Delivered,2024-05-01,2024-05-07,2024-05-16,COLD-43610009,659.38,0,False
11,SHP-2023-0000011,11,1,10,11,59,Delivered ,2023-04-06,2023-04-11,2023-04-12,FRT-24065848,1143.35,0,False
12,SHP-2023-0000012,11,74,10,11,167,Delivered,2023-04-08,2023-04-13,2023-04-14,TRK-19329572,580.20,0,False
13,SHP-2023-0000013,12,62,10,10,98,Delivered,2023-05-03,2023-05-07,2023-05-07,TRK-44902896,988.76,0,False
14,SHP-2023-0000014,12,68,10,10,284,Delivered,2023-05-07,2023-05-08,2023-05-08,FRT-56049881,1269.48,0,False
15,SHP-2025-0000015,13,35,9,9,85,Delivered,2025-02-22,2025-03-01,2025-03-05,RLX-30749451,1269.18,0,False
16,SHP-2025-0000016,14,3,6,6,302,"('In Transit', None)",2025-12-17,2025-12-18,,COLD-77276590,230.47,0,False
17,SHP-2024-0000017,15,62,1,5,95,Delivered,2024-10-31,2024-11-03,2024-11-03,RLX-51997457,241.92,0,False
18,SHP-2023-0000018,16,9,5,4,288,Delivered,2023-06-14,2023-06-17,2023-06-17,COLD-49050992,391.99,0,False
19,SHP-2023-0000019,16,62,5,4,200,Delivered ,2023-06-14,2023-06-20,2023-06-21,COLD-10964155,508.74,0,False
20,SHP-2025-0000020,17,55,2,2,194,"('Exception', None)",2025-08-14,2025-08-22,,FRT-68218677,350.79,0,False
21,SHP-2023-0000021,18,10,10,9,207,Delivered,2023-03-22,2023-03-24,2023-03-26,COLD-81560219,752.83,0,False
22,SHP-2025-0000022,19,91,7,7,141,Delivered,2025-01-31,2025-02-05,2025-02-11,FRT-19933694,237.90,0,False
23,SHP-2026-0000023,20,10,6,5,221,"('In Transit', None)",2026-01-08,2026-01-17,,RLX-25320484,315.96,0,False
24,SHP-2024-0000024,21,44,6,9,276,"('Exception', None)",2024-06-10,2024-06-12,,RLX-26474517,342.90,5,False
