address_id,customer_id,region_id,address_type,site_name,address_line_1,city,postal_code,is_primary,active_flag,validated_on
1,1,5,Billing,Cardinal Seafood Distribut HQ,9673 Canal Street,Los Angeles,99009,True,True,2025-02-02
2,1,5,Production Site, Cardinal Seafood Distribut DC,1191 Foundry Way,San Diego,55752,False,True,2024-05-26
3,1,1,Production Site,Cardinal Seafood Distribut Plant,7365 Foundry Way,Hartford,23362,False,True,2024-07-16
4,1,5,Delivery,Cardinal Seafood Distribut Annex,6543 Market Row,Seattle,73442,False,True,2023-04-14
5,2,4,Billing,Keystone Pet Nutrition Foo HQ,5512 Canal Street,Denver,86263,True,True,2025-12-02
6,2,4,Delivery,Keystone Pet Nutrition Foo DC,8759 Market Row,Denver,25483,False,True,2025-06-24
7,3,4,Billing,Helix Ingredients Foods HQ,5854 Foundry Way,Phoenix,93869,True,True,2024-06-23
8,4,4,Billing,Ardent Laboratories Distri HQ,1167 Mill Lane,Phoenix,78987,True,True,2025-03-18
9,4,4,Delivery,Ardent Laboratories Distri DC,8698 Crescent Drive,Las Vegas,55594,False,True,2025-11-28
10,4,4,Cross-Dock,Ardent Laboratories Distri Plant,5285 Harvester Road,Phoenix,38049,False,True,2025-01-18
11,5,6,Billing,Ardent Laboratories Supply HQ,4940 Vine Street,Houston,70530,True,True,2023-10-20
12,5,6,Returns,Ardent Laboratories Supply DC,8398 Juniper Avenue,Dallas,65423,False,True,2025-09-11
13,5,6,Cross-Dock,Ardent Laboratories Supply Plant,7188 Market Row,Houston,34517,False,True,2025-07-25
14,5,6,Production Site,Ardent Laboratories Supply Annex,893 Station Road,Dallas,69356,False,True,2023-06-10
15,6,5,Billing,helix seafood labs hq,7021 Vine Street,Oakland,98457,True,True,2023-10-02
16,6,5,Returns,Helix Seafood Labs DC,4214 Mill Lane,Los Angeles,63881,False,True,2023-08-25
17,6,2,Delivery,Helix Seafood Labs Plant,508 Crescent Drive,Charlotte,59264,False,False,2025-10-20
18,7,4,Billing,Meridian Cold Foods Foods HQ,875 Harvester Road,Albuquerque,65044,True,True,2026-03-10
19,8,6,Billing,Orchard Specialty Produce  HQ,1909 Marlow Parkway,Houston,49366,True,True,2023-03-08
20,9,1,Billing,Lakeside Foods Labs HQ,6654 Mill Lane,Portland,45992,True,True,2025-04-06
21,10,7,Billing,CROWN SEAFOOD CO-OP HQ,2636 Marlow Parkway,London,16298,True,True,2025-09-03
22,10,7,Production Site,Crown Seafood Co-op DC,5468 Crescent Drive,Hamilton,18490,False,True,2025-09-09
23,10,7,Cross-Dock,Crown Seafood Co-op Plant,7081 Juniper Avenue,Toronto,41024,False,False,2023-12-12
24,11,1,Billing,Aster Biologics Holdings HQ,2849 Dockside Lane,Hartford,20089,True,True,2025-08-19
25,11,3,Returns, Aster Biologics Holdings DC,6212 Vine Street,Minneapolis,68587,False,True,
26,12,8,Billing,Brightwell Beverage Foods HQ,7163 Vine Street,Montreal,90341,True,True,2025-04-26
27,12,10,Cross-Dock,Brightwell Beverage Foods DC,840 Vine Street,Cologne,L7 5A,False,True,2025-02-26
28,13,2,Billing,Westline Dairy Holdings HQ,760 Foundry Way,ATLANTA,53745,True,True,2025-02-22
29,13,2,Production Site,Westline Dairy Holdings DC,9341 Market Row,Nashville,80419,False,True,2025-06-03
30,14,10,Billing,Pioneer Foods Manufacturin HQ,2991 Market Row,Munich,L5 4D,True,True,2025-03-27
31,14,10,Production Site,Pioneer Foods Manufacturin DC,261 Dockside Lane,Cologne,M4 4C,False,True,2023-01-09
32,14,10,Production Site,Pioneer Foods Manufacturin Plant,8407 Canal Street,Cologne,M6 1A,False,True,2024-05-27
33,15,8,Billing,Ardent Pet Nutrition Suppl HQ,2336 Station Road,Sherbrooke,46333,True,True,2026-02-05
34,15,8,Cross-Dock,Ardent Pet Nutrition Suppl DC,4119 Station Road,Montreal,95934,False,True,2025-12-25
35,16,3,Billing,Mosaic Pharma Holdings HQ,4306 Crescent Drive, Detroit,89249,True,True,2025-10-10
36,16,3,Returns,Mosaic Pharma Holdings DC,3931 Canal Street,Chicago,33871,False,True,2025-10-18
37,16,3,Returns,Mosaic Pharma Holdings Plant,7666 Dockside Lane,Detroit,10062,False,True,2023-06-23
38,17,11,Billing,Orchard Ingredients Co-op HQ,901 Ridgeview Road,Amsterdam,SE9 5B,True,True,2023-11-27
39,17,11,Production Site,Orchard Ingredients Co-op DC,2839 Canal Street,Utrecht,L3 9D,False,True,2023-12-15
40,17,11,Delivery,Orchard Ingredients Co-op Plant,8543 Canal Street,Amsterdam,B2 9C,False,True,2026-03-23
41,18,5,Billing,Everfiled Floral Logistics HQ,7403 Marlow Parkway,San Diego ,70418,True,True,2025-02-15
42,19,4,Billing,Solace Seafood Logistics HQ,8832 Mill Lane,Las Vegas,52933,True,True,2025-03-01
43,19,4,Cross-Dock,Solace Seafood Logistics DC,790 Canal Street,Phoenix,70223,False,True,2024-06-21
44,20,11,Billing,Forge Dairy Logistics HQ,2744 Canal Street,Amsterdam,B6 3D,True,True,2025-09-25
45,20,8,Delivery,Forge Dairy Logistics DC,6425 Vine Street,Quebec City,62162,False,True,2025-01-20
46,21,3,Billing,Vantage Biologics Mfg HQ,1562 Canal Street,Chicago,46657,True,True,2025-02-21
47,21,9,Production Site,Vantage Biologics Mfg DC,5566 Canal Street,London,B2 2B,False,True,2025-11-26
48,21,9,Cross-Dock,Vantage Biologics Mfg Plant,1544 Juniper Avenue,Leeds,EH9 6C,False,True,2025-10-26
49,22,1,Billing,Aster Dairy Holdings HQ,7686 Ridgeview Road,Boston,47222,True,True,2025-04-09
50,22,1,Delivery,Aster Dairy Holdings DC,2279 Foundry Way,Portland,83988,False,True,2023-09-15
51,22,1,Production Site,Aster Dairy Holdings Plant,5141 Marlow Parkway,Portland,56662,False,True,2024-05-06
52,22,5,Returns,Aster Dairy Holdings Annex,9719 Marlow Parkway,Los Angeles,32432,False,True,2025-01-20
53,23,1,Billing,Crown Specialty Produce Ho HQ,7859 Mill Lane,Portland,68231,True,True,2024-11-04
54,23,7,Production Site,Crown Specialty Produce Ho DC,541 Mill Lane,Hamilton,52853,False,True,2023-12-07
55,23,7,Production Site,Crown Specialty Produce Ho Plant,4735 Mill Lane,Ottawa,50702,False,True,2024-10-06
56,24,10,Billing,Cardinal Specialty Produce HQ,3942 Marlow Parkway,Munich,B7 1A,True,True,2023-06-20
57,24,10,Cross-Dock,CARDINAL SPECIALTY PRODUCE DC,1355 Ridgeview Road,Beriln,L9 7D,False,True,2026-01-03
58,24,10,Cross-Dock,Cardinal Specialty Produce Plant,7850 Canal Street,Berlin,EH3 4A,False,False,2025-08-01
59,25,2,Billing,Pioneer Laboratories Co-op HQ,5160 Ridgeview Road,Charlotte,61156,True,True,2023-09-19
60,25,2,Cross-Dock,Pioneer Laboratories Co-op DC,9607 Station Road,Orlando,20682,False,True,2024-08-25
61,25,2,Production Site,Pioneer Laboratories Co-op Plant,1646 Marlow Parkway,Orlando,40698,False,True,2025-10-03
62,25,5,Production Site,Pioneer Laboratories Co-op Annex,3008 Canal Street,Seattle,20968,False,True,2024-02-18
63,26,10,Billing,Brightwell Cold Foods Food HQ,564 Crescent Drive,Cologne,B3 6D,True,False,2023-10-20
64,26,10,Returns,Brightwell Cold Foods Food DC,4858 Harvester Road,Munich,SE1 2C,False,True,
65,26,10,Returns,Brightwell Cold Foods Food Plant,4070 Harvester Road,Hamburg,B2 6C,False,False,2025-09-15
66,26,10,Delivery,Brightwell Cold Foods Food Annex,6657 Mill Lane,Munich,M6 8C,False,True,2025-11-03
67,27,11,Billing,Aster Floral Logistics Sup HQ,9648 Crescent Drive,Eindhoven,EH3 7A,True,True,2023-10-30
